Y,C,I
6837.6,4277.9,933.1
6696.8,4181.5,853.8
6688.8,4227.4,797.4
6813.5,4284.5,871.7
6947,4298.8,952.4
6895.6,4299.2,912.9
6978.1,4319,964.4
6902.1,4289.5,930.4
6794.9,4321.1,842.4
6825.9,4334.3,841.8
6799.8,4363.3,834.1
6802.5,4439.7,769.6
6892.1,4483.6,796.3
7049,4574.9,866.8
7189.9,4657,921.1
7339.9,4731.2,1010.7
7483.4,4770.5,1108.3
7612.7,4837.3,1144.4
7686.1,4873.2,1169.1
7749.2,4936.3,1154
7824.2,5020.2,1122.3
7893.1,5066.3,1141.4
8013.7,5162.5,1133.7
8073.2,5173.6,1175.5
8148.6,5218.9,1175.1
8185.3,5275.7,1154.6
8263.6,5369,1123.5
8308,5402,1126.9
8369.9,5407.4,1157.3
8460.2,5481.2,1157.9
8533.6,5543.7,1158.1
8680.2,5555.5,1237
8725,5653.6,1177.6
8839.6,5695.3,1205.7
8891.4,5745.9,1212.4
9009.9,5811.3,1230.9
9101.5,5838.2,1272.6
9171,5865.5,1260.3
9238.9,5922.3,1249
9257.1,5948,1239.7
9358.3,5998.1,1252.1
9392.3,6016.3,1252.4
9398.5,6040.2,1228.2
9312.9,5994.2,1159.5
9269.4,5971.7,1120.9
9341.6,6021.2,1120.9
9388.8,6051.2,1143.1
9421.6,6048.2,1183.6
9534.3,6161.4,1161.7
9637.7,6203.2,1227.4
9733,6269.7,1237.2
9834.5,6344.4,1274.9
9851,6368.8,1305
9908.3,6426.7,1312.5
9955.6,6498.2,1303.6
10091,6555.3,1372.1
10189,6630.3,1424.4
10327,6681.8,1494.4
10387.4,6732.8,1470
10506.4,6805.6,1530.5
10543.6,6822.5,1546.5
10575.1,6882.3,1514.4
10665.1,6944.7,1505.4
10737.5,6993.1,1542.8
10817.9,7057.6,1567.6
10998.3,7133.6,1642.9
11097,7176.8,1717.5
11212.2,7233.9,1715.2
11284.6,7310.2,1749.9
11472.1,7343.1,1857
11615.6,7468.2,1883
11715.4,7557.4,1911
11832.5,7633.9,1994.4
11942,7768.3,1982.1
12091.6,7869.6,2033
12287,7983.3,2095.8
12403.3,8060.8,2153.3
12498.7,8178.3,2154.7
12662.4,8270.6,2213.8
12877.6,8391.8,2273.1
12924.2,8520.7,2257.1
13160.8,8603,2390.7
13178.4,8687.5,2367.3
13260.5,8762.2,2371.8
13222.7,8797.3,2264.2
13300,8818.1,2267.4
13244.8,8848.3,2218.4
13280.9,8980.6,2108.5
13397,9008.1,2170.7
13478.2,9054.3,2206.4
13538.1,9119.9,2203.1
13559,9172.4,2201.7
13634.3,9215.5,2218.7
13751.5,9319,2234
13985.1,9455.7,2315.4
14145.6,9519.8,2393.4
14221.1,9604.5,2398.2
14329.5,9664.3,2493.9
14465,9771.1,2532.6
14609.9,9877.4,2585.5
14771.6,9935,2658.2
14839.8,10047.8,2622.8
14972.1,10145.3,2657.5
15066.6,10175.4,2743.8
15267,10288.9,2784.6
15302.7,10341,2766.6
15326.4,10403.8,2756
15456.9,10504.5,2702.5
15493.3,10563.3,2683.9
15582.1,10582.8,2713.5
15666.7,10642.5,2686.1
15762,10672.8,2653.1
15671.4,10644.4,2583.3
15752.3,10661.7,2536.4
15667,10581.9,2485.5
15328,10483.4,2246.4
15155.9,10459.7,1986.8
15134.1,10417.3,1872.3
15189.2,10489.2,1868
15356.1,10473.6,2040.7
15415.1,10525.4,2087.2
15557.3,10609.1,2196.7
15672,10683.3,2294.7
15750.6,10754,2287.4
15712.8,10799.7,2244.2
15825.1,10823.7,2336.1
15820.7,10866,2343.8
16004.1,10885.9,2524.4
16129.4,10973.3,2577.2
16198.8,10989.6,2636.5
16220.7,11007.5,2648.5
16239.1,11056.9,2624.9
16383,11114.2,2722.8
16403.2,11122.2,2753.2
16531.7,11167.4,2859.8
16663.6,11263.6,2870.1
16616.5,11308,2838.3
16841.5,11431.8,2958.1
17047.1,11554.8,3018.6
17143,11695,3021.9
17277.6,11792.1,3116.5
17405.7,11886,3118.9
17463.2,11976.6,3114.8
17468.9,12030.2,3067.1
17556.8,12124.2,3054.7
17639.4,12211.3,3041.6
17735.1,12289.1,3045.5
17824.2,12365.3,3114
17925.3,12438.9,3140.3
18021,12512.9,3167.9
18163.6,12586.3,3225.2
18322.5,12729.7,3262.1
18438.3,12782.9,3311.8
18598.1,12909.2,3296.6
18732.7,13019.8,3404.2
18783.5,13066.3,3429.5
18927.3,13103.3,3481.1
19021.9,13250,3424.7
19121.1,13353.1,3416.2
19219.8,13411.9,3363
